input,target 
b'1rbqkb1r/pppppppp/2n2n2/8/8/4P2N/PPPP1PPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQq - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'1rbqkb1r/pppppppp/2n2n2/8/8/3P3N/PPP1PPPP/RNBQKB1R w KQk - 1 4',-70
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQq - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'1rbqkb1r/pppppppp/2n2n2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQk - 1 4',-110
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'1rbqkb1r/pppppppp/2n2n2/8/8/1P5N/P1PPPPPP/RNBQKB1R w KQk - 1 4',-105
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQq - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'1rbqkb1r/pppppppp/2n2n2/8/8/P6N/1PPPPPPP/RNBQKB1R w KQk - 1 4',-90
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
b'1rbqkb1r/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQk - 1 4',-100
b'r1bqkbr1/pppppppp/2n2n2/8/6P1/7N/PPPPPP1P/RNBQKB1R w KQq - 1 4',-100
